county,seat,homepage,confidence,evidence,flag_for_review,source
Jefferson,Monticello,https://jeffersonvotesfl.gov/,confident,"'Jefferson County' in page; 'Supervisor of Elections' in page; seat 'Monticello' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Lafayette,Mayo,https://lafayettevotes.net/,confident,"'Lafayette County' in page; 'Supervisor of Elections' in page; seat 'Mayo' in page; Florida/FL present; election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Lake,Tavares,https://www.lakevotes.gov,confident,"'Lake County' in page; 'Supervisor of Elections' in page; seat 'Tavares' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Lee,Fort Myers,https://www.lee.vote,confident,"'Lee County' in page; 'Supervisor of Elections' in page; seat 'Fort Myers' in page; Florida/FL present; election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Leon,Tallahassee,https://www.leonvotes.gov,confident,"'Leon County' in page; 'Supervisor of Elections' in page; seat 'Tallahassee' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Levy,Bronson,https://www.votelevy.gov/,confident,"'Levy County' in page; 'Supervisor of Elections' in page; seat 'Bronson' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, voter registration",,state directory
Liberty,Bristol,https://libertycountyflsoe.gov,confident,"'Liberty County' in page; 'Supervisor of Elections' in page; seat 'Bristol' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, voter registration",,state directory
Madison,Madison,https://www.votemadison.com,confident,"'Madison County' in page; 'Supervisor of Elections' in page; seat 'Madison' in page; Florida/FL present; election signals: supervisor of elections, vote by mail, early voting",,state directory
Manatee,Bradenton,https://www.votemanatee.gov,confident,"'Manatee County' in page; 'Supervisor of Elections' in page; seat 'Bradenton' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, voter registration",,state directory
Marion,Ocala,https://www.votemarion.gov,likely,"'Marion County' in page; seat 'Ocala' in page; Florida/FL present; official TLD (.gov); election signals: early voting, sample ballot, canvassing board",yes,state directory
Martin,Stuart,https://www.martinvotes.gov,confident,"'Martin County' in page; 'Supervisor of Elections' in page; seat 'Stuart' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, early voting",,state directory
Miami-Dade,Miami,https://www.votemiamidade.gov/elections/home.page,confident,"'Miami-Dade County' in page; 'Supervisor of Elections' in page; seat 'Miami' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Monroe,Key West,https://www.votemonroeflkeys.gov/,confident,"'Monroe County' in page; 'Supervisor of Elections' in page; seat 'Key West' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote-by-mail, voter registration",,state directory
Nassau,Fernandina Beach,https://www.votenassaufl.gov,confident,"'Nassau County' in page; 'Supervisor of Elections' in page; SOE office city 'Yulee' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Okaloosa,Crestview,https://www.voteokaloosa.gov,confident,"'Okaloosa County' in page; 'Supervisor of Elections' in page; seat 'Crestview' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, voter registration",,state directory
Okeechobee,Okeechobee,https://voteokeechobee.gov/,confident,"'Okeechobee County' in page; 'Supervisor of Elections' in page; seat 'Okeechobee' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Orange,Orlando,https://voteorangefl.gov/,confident,"'Orange County' in page; 'Supervisor of Elections' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Osceola,Kissimmee,https://www.voteosceola.gov/en-us/,confident,"'Osceola County' in page; 'Supervisor of Elections' in page; seat 'Kissimmee' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, voter registration",,state directory
Palm Beach,West Palm Beach,https://www.votepalmbeach.gov,confident,"'Palm Beach County' in page; 'Supervisor of Elections' in page; seat 'West Palm Beach' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote-by-mail, voter registration",,state directory
Pasco,Dade City,https://www.pascovotes.gov,confident,"'Pasco County' in page; 'Supervisor of Elections' in page; seat 'Dade City' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Pinellas,Clearwater,https://www.votepinellas.gov,likely,"'Pinellas County' in page; SOE office city 'Largo' in page; Florida/FL present; official TLD (.gov); election signals: early voting, canvassing board, register to vote",yes,state directory
Polk,Bartow,https://www.polkelections.gov,likely,"'Polk County' in page; seat 'Bartow' in page; Florida/FL present; official TLD (.gov); election signals: vote by mail, vote-by-mail, early voting",yes,state directory
Putnam,Palatka,https://www.voteputnamflorida.gov/,confident,"'Putnam County' in page; 'Supervisor of Elections' in page; seat 'Palatka' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Santa Rosa,Milton,https://votesantarosa.gov/,confident,"'Santa Rosa County' in page; 'Supervisor of Elections' in page; seat 'Milton' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Sarasota,Sarasota,https://www.sarasotavotes.gov,confident,"'Sarasota County' in page; 'Supervisor of Elections' in page; seat 'Sarasota' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Seminole,Sanford,https://voteseminole.gov/,confident,"'Seminole County' in page; 'Supervisor of Elections' in page; seat 'Sanford' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
St. Johns,St. Augustine,https://www.votesjc.gov,confident,"'St. Johns County' in page; 'Supervisor of Elections' in page; seat 'St. Augustine' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, voter registration",,state directory
St. Lucie,Fort Pierce,https://www.stlucievotes.gov,confident,"'St. Lucie County' in page; 'Supervisor of Elections' in page; seat 'Fort Pierce' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote-by-mail, voter registration",,state directory
Sumter,Bushnell,https://elections.sumtercountyfl.gov,confident,"'Sumter County' in page; 'Supervisor of Elections' in page; seat 'Bushnell' in page; SOE office city 'Wildwood' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote-by-mail, voter registration",,state directory
Suwannee,Live Oak,https://www.suwanneevotes.com,confident,"'Suwannee County' in page; 'Supervisor of Elections' in page; seat 'Live Oak' in page; Florida/FL present; election signals: supervisor of elections, vote by mail, early voting",,state directory
Taylor,Perry,https://www.taylorelectionsfl.gov,confident,"'Taylor County' in page; 'Supervisor of Elections' in page; seat 'Perry' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Union,Lake Butler,https://unionflvotes.com/,confident,"'Union County' in page; 'Supervisor of Elections' in page; seat 'Lake Butler' in page; Florida/FL present; election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Volusia,DeLand,https://www.volusiaelections.gov/,confident,"'Volusia County' in page; 'Supervisor of Elections' in page; seat 'DeLand' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Wakulla,Crawfordville,https://wakullavotes.gov/,confident,"'Wakulla County' in page; 'Supervisor of Elections' in page; seat 'Crawfordville' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Walton,DeFuniak Springs,https://votewalton.gov/,confident,"'Walton County' in page; 'Supervisor of Elections' in page; seat 'DeFuniak Springs' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, voter registration",,state directory
Washington,Chipley,https://wcsoe.gov/,confident,"'Washington County' in page; 'Supervisor of Elections' in page; seat 'Chipley' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
