county,batch,page_type,url,external,notes,verify_status,http_status,final_url,audit_confidence,audit_reason,flag_for_review
Polk,1,voter_registration,https://www.polkelections.gov/203/Registration-Form-Locations,false,"found via ""Registration Form Locations"" score=6 (weak match — review) [after 1 rejected]",ok,200,https://www.polkelections.gov/203/Registration-Form-Locations,,,weak-score
Putnam,2,voter_registration,https://www.voteputnamflorida.gov/voter_information/register_to_vote.php,false,"found via ""Register To Vote"" score=31",ok,200,https://www.voteputnamflorida.gov/voter_information/register_to_vote.php,,,
Santa Rosa,1,voter_registration,https://votesantarosa.gov/voter-information/register-to-vote/,false,"found via ""icon 23 star Created with Sketch. Regist"" score=51",ok,200,https://votesantarosa.gov/voter-information/register-to-vote/,,,
Sarasota,1,voter_registration,https://www.sarasotavotes.gov/165/Register-to-Vote,false,"found via ""Register to Vote"" score=31",ok,200,https://www.sarasotavotes.gov/165/Register-to-Vote,,,
Seminole,1,voter_registration,https://voteseminole.gov/voters/register-to-vote/,false,"found via ""Register To Vote Complete your voter reg"" score=39",ok,200,https://voteseminole.gov/voters/register-to-vote/,,,
St. Johns,1,voter_registration,https://www.votesjc.gov/register-to-vote,false,"found via ""Register to Vote & Update Your Record"" score=19",ok,200,https://www.votesjc.gov/register-to-vote,,,
St. Lucie,1,voter_registration,https://www.stlucievotes.gov/voter_information/register_to_vote.php,false,"found via ""Register to Vote"" score=31",ok,200,https://www.stlucievotes.gov/voter_information/register_to_vote.php,,,
Sumter,1,voter_registration,https://elections.sumtercountyfl.gov/172/How-to-Register-to-Vote,false,"found via ""Voter Registration Application"" score=53",ok,200,https://elections.sumtercountyfl.gov/172/How-to-Register-to-Vote,,,
Suwannee,1,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Taylor,1,voter_registration,https://www.taylorelectionsfl.gov/third-party-registration-organization/,false,"found via ""Third Party Registration Organization"" score=6 (weak match — review)",ok,200,https://www.taylorelectionsfl.gov/third-party-registration-organization/,,,weak-score
Union,1,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Volusia,1,voter_registration,https://www.volusiaelections.gov/elections/register-to-vote.stml,false,"found via ""Register to Vote"" score=31",ok,200,https://www.volusiaelections.gov/elections/register-to-vote.stml,,,
Wakulla,1,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Walton,1,voter_registration,https://votewalton.gov/update-my-record/,false,"found via ""Update My Florida Voter Registration"" score=20",ok,200,https://votewalton.gov/update-my-record/,,,
Washington,1,voter_registration,https://wcsoe.gov/register-to-vote/,false,"found via ""Register to Vote"" score=31",ok,200,https://wcsoe.gov/register-to-vote/,,,
